id,image_id,geometry,class
31,026.png,"[(1057.0,284.0),(1286.0,284.0),(1286.0,342.0),(1057.0,342.0)]",airportrunway
32,027.png,"[(1082.0,358.0),(1265.0,358.0),(1265.0,410.0),(1082.0,410.0)]",airportrunway
33,028.png,"[(1081.0,167.0),(1209.0,167.0),(1209.0,223.0),(1081.0,223.0)]",airportrunway
34,029.png,"[(1133.0,119.0),(1298.0,119.0),(1298.0,174.0),(1133.0,174.0)]",airportrunway
35,030.png,"[(1091.0,282.0),(1258.0,282.0),(1258.0,327.0),(1091.0,327.0)]",airportrunway
36,031.png,"[(899.0,99.0),(989.0,99.0),(989.0,130.0),(899.0,130.0)]",airportrunway
37,031.png,"[(933.0,859.0),(1056.0,859.0),(1056.0,887.0),(933.0,887.0)]",airportrunway
38,032.png,"[(828.0,541.0),(929.0,541.0),(929.0,568.0),(828.0,568.0)]",airportrunway
39,032.png,"[(841.0,380.0),(944.0,380.0),(944.0,406.0),(841.0,406.0)]",airportrunway
40,033.png,"[(814.0,83.0),(877.0,83.0),(877.0,101.0),(814.0,101.0)]",airportrunway
41,033.png,"[(609.0,603.0),(672.0,603.0),(672.0,621.0),(609.0,621.0)]",airportrunway
42,034.png,"[(954.0,130.0),(1061.0,130.0),(1061.0,159.0),(954.0,159.0)]",airportrunway
43,034.png,"[(922.0,938.0),(1020.0,938.0),(1020.0,965.0),(922.0,965.0)]",airportrunway
44,035.png,"[(1056.0,53.0),(1120.0,53.0),(1120.0,80.0),(1056.0,80.0)]",airportrunway
45,035.png,"[(792.0,862.0),(867.0,862.0),(867.0,886.0),(792.0,886.0)]",airportrunway
46,036.png,"[(1031.0,178.0),(1120.0,178.0),(1120.0,205.0),(1031.0,205.0)]",airportrunway
47,036.png,"[(1046.0,366.0),(1201.0,366.0),(1201.0,394.0),(1046.0,394.0)]",airportrunway
48,037.png,"[(783.0,120.0),(864.0,120.0),(864.0,148.0),(783.0,148.0)]",airportrunway
49,038.png,"[(957.0,76.0),(1041.0,76.0),(1041.0,100.0),(957.0,100.0)]",airportrunway
50,038.png,"[(859.0,735.0),(963.0,735.0),(963.0,767.0),(859.0,767.0)]",airportrunway
51,039.png,"[(853.0,535.0),(965.0,535.0),(965.0,574.0),(853.0,574.0)]",airportrunway
52,040.png,"[(920.0,79.0),(1042.0,79.0),(1042.0,115.0),(920.0,115.0)]",airportrunway
53,040.png,"[(868.0,716.0),(981.0,716.0),(981.0,760.0),(868.0,760.0)]",airportrunway
54,041.png,"[(819.0,185.0),(955.0,185.0),(955.0,224.0),(819.0,224.0)]",airportrunway
55,042.png,"[(850.0,330.0),(927.0,330.0),(927.0,354.0),(850.0,354.0)]",airportrunway
56,043.png,"[(1097.0,200.0),(1234.0,200.0),(1234.0,249.0),(1097.0,249.0)]",airportrunway
